seller_id,seller_order_count,seller_items_sold,seller_unique_customers,seller_total_revenue,seller_total_freight_value,seller_avg_item_price,seller_avg_freight_value,seller_avg_review_score,seller_avg_delivery_days,seller_avg_delay_days,seller_delayed_order_rate,seller_unique_products,seller_unique_categories,seller_state,seller_top_category,seller_active_days
0015a82c2db000af6aaaf3ae2ecb0532,3,3,3,2685.0,63.06,895.0,21.02,3.6666666666666665,10.333333333333334,-16.333333333333332,0.0,1,1,SP,small_appliances,21
001cca7ae9ae17fb1caed9dfb1094831,200,239,200,25080.03,8854.14,104.9373640167364,37.046610878661085,3.902542372881356,12.628205128205128,-13.213675213675213,0.0502092050209205,11,2,ES,garden_tools,523
001e6ad469a905060d959994f1b41e4f,1,1,1,250.0,17.94,250.0,17.94,1.0,10.6918511755307,-12.0,0.0,1,1,RJ,sports_leisure,0
002100f778ceb8431b7a1020ff7ab48f,51,55,51,1234.5,793.66,22.445454545454545,14.430181818181818,3.981818181818182,15.777777777777779,-8.185185185185185,0.16363636363636364,24,1,SP,furniture_decor,210
003554e2dce176b5555353e4f3555ac8,1,1,1,120.0,19.38,120.0,19.38,5.0,4.0,-27.0,0.0,1,1,GO,unknown,0
004c9cd9d87a3c30c522c48c4fc07416,158,170,157,19712.71,3551.23,115.95711764705882,20.889588235294116,4.1437125748503,13.958333333333334,-11.982142857142858,0.058823529411764705,88,2,SP,bed_bath_table,461
00720abe85ba0859807595bbf045a33b,13,26,12,1007.5,315.98,38.75,12.153076923076924,3.6538461538461537,8.153846153846153,-12.73076923076923,0.07692307692307693,9,1,SP,housewares,188
00ab3eff1b5192e5f1a63bcecfee11c8,1,1,1,98.0,12.08,98.0,12.08,5.0,9.0,-10.0,0.0,1,1,SP,health_beauty,0
00d8b143d12632bad99c0ad66ad52825,1,1,1,86.0,51.1,86.0,51.1,5.0,7.0,-22.0,0.0,1,1,MG,fashion_bags_accessories,0
00ee68308b45bc5e2660cd833c3f81cc,135,172,134,20260.0,3180.66,117.79069767441861,18.49220930232558,4.3274853801169595,8.732558139534884,-10.86046511627907,0.06395348837209303,23,2,SP,bed_bath_table,324
00fc707aaaad2d31347cf883cd2dfe10,103,135,102,12684.9,2285.09,93.96222222222222,16.926592592592595,3.791044776119403,15.348148148148148,-15.533333333333333,0.037037037037037035,19,1,PR,computers_accessories,133
010543a62bd80aa422851e79a3bc7540,2,2,2,1416.0,31.950000000000003,708.0,15.975000000000001,4.5,8.5,-8.5,0.0,1,1,SP,computers_accessories,28
010da0602d7774602cd1b3f5fb7b709e,1,5,1,849.5,230.25,169.9,46.05,1.0,26.0,-10.0,0.0,1,1,SP,kitchen_dining_laundry_garden_furniture,0
011b0eaba87386a2ae96a7d32bb531d1,1,2,1,99.98,29.18,49.99,14.59,4.0,25.0,-30.0,0.0,1,1,SP,health_beauty,0
01266d4c46afa519678d16a8b683d325,3,3,3,90.25,47.230000000000004,30.083333333333332,15.743333333333334,5.0,5.333333333333333,-9.333333333333334,0.0,3,1,PR,costruction_tools_tools,18
013900e863eace745d3ec7614cab5b1a,23,26,23,1619.7,469.67,62.29615384615385,18.064230769230768,4.730769230769231,11.038461538461538,-16.115384615384617,0.0,19,3,PR,fashion_shoes,405
014c0679dd340a0e338872e7ec85666a,14,15,14,7058.0,628.3100000000001,470.53333333333336,41.88733333333334,3.6666666666666665,18.533333333333335,-11.666666666666666,0.13333333333333333,10,3,MG,kitchen_dining_laundry_garden_furniture,524
014d9a685fd57276679edd00e07089e5,11,12,11,729.88,146.93,60.82333333333333,12.244166666666667,3.8333333333333335,8.5,-12.583333333333334,0.0,3,2,PR,stationery,268
0176f73cc1195f367f7b32db1e5b3aa8,38,39,38,4733.1,1287.01,121.36153846153847,33.00025641025641,4.0256410256410255,12.947368421052632,-8.736842105263158,0.10256410256410256,18,1,SP,bed_bath_table,270
01bcc9d254a0143f0ce9791b960b2a47,11,11,11,1521.21,277.65999999999997,138.29181818181817,25.24181818181818,4.4,12.4,-18.3,0.0,3,1,GO,health_beauty,173
01c97ebb5cdac52891c0ed1c37ba0012,9,12,9,577.5,178.5,48.125,14.875,4.083333333333333,12.333333333333334,-9.333333333333334,0.0,3,1,SP,computers_accessories,473
01cf7e3d21494c41fb86034f2e714fa1,61,67,61,9729.36,2008.82,145.21432835820897,29.982388059701492,4.212121212121212,11.076923076923077,-15.184615384615384,0.04477611940298507,21,9,PR,air_conditioning,507
01ed254b9ff8407dfb9d99ba1e17d923,5,5,5,1465.99,67.72,293.198,13.544,5.0,6.4,-17.0,0.0,2,1,SP,watches_gifts,96
01fd077212124329bac32490e8ef80d9,31,39,31,1208.0,575.36,30.974358974358974,14.752820512820513,4.3076923076923075,7.666666666666667,-11.948717948717949,0.02564102564102564,12,7,SP,health_beauty,130
01fdefa7697d26ad920e9e0346d4bd1b,129,131,129,14921.43,2768.64,113.90404580152672,21.134656488549616,4.346153846153846,10.276923076923078,-13.73076923076923,0.05343511450381679,21,1,PR,health_beauty,481
0241d4d5d36f10f80c644447315af0bd,238,246,235,31397.7,6853.91,127.6329268292683,27.86142276422764,4.3061224489795915,10.463414634146341,-13.016260162601625,0.044715447154471545,56,1,PR,furniture_decor,323
0249d282d911d23cb8b869ab49c99f53,11,11,11,393.0,138.88,35.72727272727273,12.625454545454545,4.2727272727272725,9.818181818181818,-8.363636363636363,0.18181818181818182,4,1,SP,sports_leisure,185
